"metadata","pageContent"
"{""decision"":""Pause.""}","Hey"
"{""decision"":""Pause.""}","Well"
"{""decision"":""Pause.""}","Im"
"{""decision"":""Pause""}","No but let me"
"{""decision"":""Pause.""}","Well I"
"{""decision"":""Pause.""}","That would be"
"{""decision"":""Pause.""}","That drives me because"
"{""decision"":""Pause""}","Yes My"
"{""decision"":""Pause""}","Okay so what I"
"{""decision"":""Pause.""}","Well I have"
"{""decision"":""Pause.""}","Its me getting"
"{""decision"":""Pause.""}","Because Im busy Im a very busy"
"{""decision"":""Pause.""}","Well I have a"
"{""decision"":""Pause""}","Hey how are"
"{""decision"":""Pause""}","Okay so what I normally"
"{""decision"":""Pause.""}","Yes my"
"{""decision"":""Pause.""}","Because Im busy Im a very"
"{""decision"":""Pause.""}","Because Im busy Im"
"{""decision"":""Pause""}","How you could"
"{""decision"":""Pause.""}","No but let me just"
"{""decision"":""Pause.""}","Okay Im sorry about that Somebody walked"
"{""decision"":""Pause.""}","No 30000"
"{""decision"":""Pause.""}","Because of the overwhelming of people and"
"{""decision"":""Pause.""}","That would"
"{""decision"":""Pause.""}","Because Im busy"
"{""decision"":""Pause.""}","My price point is 1200 A"
"{""decision"":""Pause.""}","Yes My financial target to"
"{""decision"":""Pause.""}","Hey how"
"{""decision"":""Pause.""}","Well right now yes thats where I"
"{""decision"":""Pause.""}","At this moment Im probably doing about"
"{""decision"":""Pause""}","How you could build your business"
"{""decision"":""Pause""}","Lets see I"
"{""decision"":""Pause.""}","Say for instance"
"{""decision"":""Pause.""}","So as I was saying"
"{""decision"":""Pause.""}","Well again because my current obligation"
"{""decision"":""Pause.""}","Well right"
"{""decision"":""Pause.""}","I do something once a"
"{""decision"":""Pause.""}","No but let me just say"
"{""decision"":""Pause.""}","My price point is"
"{""decision"":""Keep talking.""}","Hey how are you?"
"{""decision"":""Pause.""}","Well"
"{""decision"":""Keep talking.""}","I do"
"{""decision"":""Pause.""}","Right now? I probably say about 25000"
"{""decision"":""Pause.""}","At this"
"{""decision"":""Pause.""}","Yes My financial target to be able"
"{""decision"":""Keep talking.""}","I"
"{""decision"":""Pause.""}","Well I hadnt really sat down and"
"{""decision"":""Pause.""}","So as I"
"{""decision"":""Pause.""}","That drives me because of"
"{""decision"":""Pause.""}","To invest in growing"
"{""decision"":""Keep talking.""}","At this moment Im probably doing"
"{""decision"":""Pause.""}","That would be better for"
"{""decision"":""Pause.""}","The solitude for"
"{""decision"":""Pause.""}","Around 7000 a month the"
"{""decision"":""Pause.""}","Well right now yes thats"
"{""decision"":""Pause.""}","Lets see"
"{""decision"":""Pause.""}","Well again because my"
"{""decision"":""Pause.""}","Right now? I"
"{""decision"":""Pause.""}","Its me getting on a"
"{""decision"":""Pause.""}","Humanity Humanity will be on the top"
"{""decision"":""Pause.""}","Um my business so far"
"{""decision"":""Pause.""}","Okay so what"
"{""decision"":""Keep talking.""}","Right"
"{""decision"":""Pause.""}","I dont And thats the thing I"
"{""decision"":""Pause.""}","That for thats"
"{""decision"":""Keep talking.""}","Okay Im sorry"
"{""decision"":""Pause.""}","Well right now yes thats where"
"{""decision"":""Pause.""}","At this moment"
"{""decision"":""Keep talking.""}","Im good and yourself?"
"{""decision"":""Pause.""}","Yes my credit score"
"{""decision"":""Pause.""}","That drives me"
"{""decision"":""Pause.""}","How"
"{""decision"":""Pause.""}","Um my business so"
"{""decision"":""Pause.""}","Okay so"
"{""decision"":""Pause.""}","I dont And thats the"
"{""decision"":""Pause.""}","My"
"{""decision"":""Pause.""}","The solitude"
"{""decision"":""Keep talking.""}","Because"
"{""decision"":""Pause.""}","Well again because my current obligation in"
"{""decision"":""Pause.""}","At this moment Im probably"
"{""decision"":""Pause.""}","That drives me because of this world"
"{""decision"":""Pause.""}","How you could build"
"{""decision"":""Keep talking.""}","How you could build your"
"{""decision"":""Pause.""}","Yes my credit"
"{""decision"":""Pause.""}","Well I hadnt"
"{""decision"":""Pause.""}","So"
"{""decision"":""Pause.""}","How you could build your business Credit"
"{""decision"":""Keep talking.""}","Yes my credit score is"
"{""decision"":""Keep talking.""}","At"
"{""decision"":""Keep talking.""}","Right now?"
"{""decision"":""Pause.""}","So as I was"
"{""decision"":""Keep talking.""}","Its me getting on a plane going"
"{""decision"":""Keep talking.""}","I"
"{""decision"":""Pause.""}","To invest in growing my business"
"{""decision"":""Keep talking.""}","Yes One of my skills"
"{""decision"":""Keep talking.""}","I do"
"{""decision"":""Keep talking.""}","I do something once a month"
"{""decision"":""Keep talking.""}","Yes My financial"
"{""decision"":""Keep talking.""}","Yes my credit score is 750"
"{""decision"":""Pause.""}","So as"
"{""decision"":""Pause.""}","How you"
"{""decision"":""Pause.""}","My annual"
"{""decision"":""Keep talking.""}","Its me getting on a plane"
"{""decision"":""Keep talking.""}","That would be better"
"{""decision"":""Keep talking.""}","Okay"
"{""decision"":""Keep talking.""}","That"
"{""decision"":""Pause.""}","Im good and"
"{""decision"":""Pause.""}","Thats one of my goals And my"
"{""decision"":""Keep talking.""}","Yes"
"{""decision"":""Pause.""}","Lets see I probably would"
"{""decision"":""Keep talking.""}","Its me"
"{""decision"":""Keep talking.""}","I do something"
"{""decision"":""Keep talking.""}","I do something once"
"{""decision"":""Pause.""}","That would be better for me At"
"{""decision"":""Pause.""}","Its"
"{""decision"":""Pause.""}","Let me just"
"{""decision"":""Pause.""}","That you would want? Well how to"
"{""decision"":""Keep talking.""}","No"
"{""decision"":""Pause.""}","Well again because my current"
"{""decision"":""Pause.""}","Lets"
"{""decision"":""Pause.""}","Let me just say this I"
"{""decision"":""Keep talking.""}","I did"
"{""decision"":""Keep talking.""}","The only process is marketing"
"{""decision"":""Keep talking.""}","Right"
"{""decision"":""Pause""}","My"
"{""decision"":""Pause.""}","Okay Im sorry about that Somebody"
"{""decision"":""Pause.""}","Okay Im"
"{""decision"":""Pause.""}","Well again"
"{""decision"":""Pause.""}","Because Im"
"{""decision"":""Pause.""}","My annual income?"
"{""decision"":""Pause.""}","Well"
"{""decision"":""Pause.""}","Well again because"
"{""decision"":""Pause.""}","I dont want to work 12"
"{""decision"":""Pause.""}","The only process is marketing Get"
"{""decision"":""Pause.""}","Its me getting on"
"{""decision"":""Pause.""}","So as I was saying right"
"{""decision"":""Keep talking.""}","Right now? I probably say"
"{""decision"":""Pause.""}","Thats one of my"
"{""decision"":""Keep talking.""}","Im good"
"{""decision"":""Pause.""}","Thats one of my goals And"
"{""decision"":""Pause.""}","That for"
"{""decision"":""Pause.""}","Well if"
"{""decision"":""Pause.""}","Email me Whatever it"
"{""decision"":""Pause.""}","My ultimate goal"
"{""decision"":""Keep talking.""}","Well I have a consulting business"
"{""decision"":""Pause.""}","My"
"{""decision"":""Pause.""}","That for thats one"
"{""decision"":""Pause.""}","Well I hadnt really sat down"
"{""decision"":""Pause.""}","The only process is marketing Get out"
"{""decision"":""Pause.""}","The only process is"
"{""decision"":""Pause.""}","Its"
"{""decision"":""Pause.""}","Well if Im consulting with the business"
"{""decision"":""Pause.""}","My ultimate goal is to at"
"{""decision"":""Keep talking.""}","I"
"{""decision"":""Pause.""}","Let me just say this"
"{""decision"":""Keep talking.""}","Right"
"{""decision"":""Pause.""}","My ultimate"
"{""decision"":""Keep talking.""}","Well I have a consulting business and"
"{""decision"":""Pause.""}","My price point"
"{""decision"":""Pause.""}","Well I hadnt really sat"
"{""decision"":""Keep talking.""}","Thats one of my goals"
"{""decision"":""Pause.""}","The only process"
"{""decision"":""Pause.""}","I do a"
"{""decision"":""Pause.""}","I do a lot of online"
"{""decision"":""Pause.""}","Thats one of"
"{""decision"":""Pause.""}","My ultimate goal is to"
"{""decision"":""Pause""}","Because Im busy Im a"
"{""decision"":""Keep talking.""}","That you"
"{""decision"":""Pause.""}","Its about"
"{""decision"":""Pause.""}","My ultimate goal is"
"{""decision"":""Keep talking.""}","Right now? I probably say about"
"{""decision"":""Pause""}","Yes Im"
"{""decision"":""Pause.""}","No 30000 a month a week"
"{""decision"":""Pause.""}","That for thats one flat"
"{""decision"":""Pause.""}","Email me Whatever it is that"
"{""decision"":""Pause.""}","No 30000 a month"
"{""decision"":""Pause.""}","Its about my passion Its"
"{""decision"":""Pause.""}","Thats"
"{""decision"":""Pause.""}","I do a lot of online I"
"{""decision"":""Pause.""}","Because of"
"{""decision"":""Pause.""}","I do a lot of"
"{""decision"":""Keep talking.""}","Yes"
"{""decision"":""Keep talking.""}","Email me Whatever it is"
"{""decision"":""Pause.""}","Yes My financial target to be"
"{""decision"":""Keep talking.""}","Email"
"{""decision"":""Pause.""}","Well I"
"{""decision"":""Pause.""}","Well if Im"
"{""decision"":""Keep talking.""}","My price point is 1200"
"{""decision"":""Pause.""}","Its about my"
"{""decision"":""Pause.""}","No 30000 a month a week or"
"{""decision"":""Keep talking.""}","Yes Im open to"
"{""decision"":""Pause.""}","Its about my passion"
"{""decision"":""Pause.""}","No 30000 a"
"{""decision"":""Pause.""}","Because of the"
"{""decision"":""Pause.""}","Because of the overwhelming"
"{""decision"":""Pause.""}","Yes Im open to that And Im"
"{""decision"":""Pause.""}","Well if Im consulting"
"{""decision"":""Pause.""}","Well I hadnt really"
"{""decision"":""Keep talking.""}","Thats one"
"{""decision"":""Pause.""}","My ultimate goal is to at some"
"{""decision"":""Pause.""}","At this moment Im"
"{""decision"":""Pause.""}","I"
"{""decision"":""Keep talking.""}","Okay Im sorry about that"
"{""decision"":""Pause.""}","How much"
"{""decision"":""Keep talking.""}","No"
"{""decision"":""Pause.""}","Well right now"
"{""decision"":""Keep talking.""}","Yes Im open to that"
"{""decision"":""Pause.""}","No but"
"{""decision"":""Keep talking.""}","Yes Im open to that And"
"{""decision"":""Pause.""}","Around 7000 a month the extra money"
"{""decision"":""Pause.""}","Again? Like"
"{""decision"":""Pause.""}","Humanity Humanity will be on"
"{""decision"":""Pause.""}","More"
"{""decision"":""Pause.""}","Its about my passion Its been"
"{""decision"":""Pause.""}","That you would want?"
"{""decision"":""Pause""}","Let"
"{""decision"":""Pause.""}","Again? Like I was"
"{""decision"":""Keep talking.""}","That"
"{""decision"":""Keep talking.""}","Yes"
"{""decision"":""Pause.""}","That you would want? Well how"
"{""decision"":""Pause.""}","No but let"
"{""decision"":""Pause""}","Lets see I probably would do"
"{""decision"":""Pause""}","My annual income? With this job"
"{""decision"":""Pause.""}","Yes One of my skills that I"
"{""decision"":""Keep talking.""}","Email me Whatever"
"{""decision"":""Keep talking.""}","Yes Im open"
"{""decision"":""Pause.""}","Again? Like I was saying"
"{""decision"":""Pause.""}","Humanity Humanity will"
"{""decision"":""Keep talking.""}","Because"
"{""decision"":""Pause.""}","Humanity"
"{""decision"":""Pause.""}","The first thing is the phone"
"{""decision"":""Pause.""}","Okay so what I normally do I"
"{""decision"":""Pause.""}","Yes One of my"
"{""decision"":""Pause.""}","The solitude for me"
"{""decision"":""Pause.""}","Lets see I probably would do 20"
"{""decision"":""Keep talking.""}","The"
"{""decision"":""Pause.""}","I do a lot"
"{""decision"":""Pause.""}","They would really have to wear multiple"
"{""decision"":""Keep talking.""}","Yes One"
"{""decision"":""Pause.""}","Around 7000 a"
"{""decision"":""Pause.""}","Well"
"{""decision"":""Pause.""}","Humanity Humanity will be on the"
"{""decision"":""Pause.""}","No but let me just say its"
"{""decision"":""Pause.""}","To invest"
"{""decision"":""Keep talking.""}","That"
"{""decision"":""Pause.""}","Say for instance I got"
"{""decision"":""Pause.""}","Around 7000 a month"
"{""decision"":""Pause.""}","The first thing"
"{""decision"":""Pause.""}","I would yeah"
"{""decision"":""Pause.""}","Around 7000 a month the extra"
"{""decision"":""Pause.""}","More time"
"{""decision"":""Pause.""}","My annual income? With this job in"
"{""decision"":""Pause.""}","How"
"{""decision"":""Keep talking.""}","I"
"{""decision"":""Pause.""}","They would really"
"{""decision"":""Pause.""}","My annual income? With this"
"{""decision"":""Pause.""}","Say for"
"{""decision"":""Pause.""}","Again? Like I was saying how people"
"{""decision"":""Keep talking.""}","I would"
"{""decision"":""Keep talking.""}","Sure"
"{""decision"":""Pause.""}","So as I was saying right now"
"{""decision"":""Keep talking.""}","I"
"{""decision"":""Pause.""}","Because of the overwhelming of people"
"{""decision"":""Pause.""}","Because of the overwhelming of"
"{""decision"":""Keep talking.""}","That"
"{""decision"":""Keep talking.""}","To invest in"
"{""decision"":""Pause.""}","How much more longer are we going"
"{""decision"":""Pause.""}","Let me"
"{""decision"":""Pause.""}","Um my business so far is"
"{""decision"":""Pause.""}","That you would"
"{""decision"":""Pause.""}","They would"
"{""decision"":""Pause.""}","Well if Im consulting with the"
"{""decision"":""Pause.""}","How much more longer"
"{""decision"":""Pause.""}","Say for instance I got 20"
"{""decision"":""Pause.""}","Okay so what I normally do"
"{""decision"":""Pause.""}","The first thing is the phone I"
"{""decision"":""Keep talking.""}","Yes One of"
"{""decision"":""Keep talking.""}","That sounds good"
"{""decision"":""Keep talking.""}","Um"
"{""decision"":""Pause.""}","Again? Like I"
"{""decision"":""Pause.""}","That you would want? Well"
"{""decision"":""Pause.""}","Humanity Humanity will be"
"{""decision"":""Keep talking.""}","Around"
"{""decision"":""Keep talking.""}","The"
"{""decision"":""Pause.""}","I dont And thats the thing"
"{""decision"":""Keep talking.""}","I"
"{""decision"":""Keep talking.""}","They"
"{""decision"":""Pause.""}","Right now? I probably"
"{""decision"":""Pause.""}","That drives me because of this"
"{""decision"":""Pause.""}","I dont And thats"
"{""decision"":""Pause.""}","Again? Like I was saying how"
"{""decision"":""Pause.""}","I dont want to work 12 hours"
"{""decision"":""Pause.""}","I dont And"
"{""decision"":""Pause.""}","Okay Im sorry about"
"{""decision"":""Keep talking.""}","That would be better for me"
"{""decision"":""Pause.""}","That for thats one flat fee"
"{""decision"":""Pause.""}","How much more"
"{""decision"":""Keep talking.""}","Around 7000"
"{""decision"":""Pause.""}","Um my"
"{""decision"":""Keep talking.""}","Again?"
"{""decision"":""Pause.""}","How much more longer are we"
"{""decision"":""Pause.""}","Say for instance I got 20 calls"
"{""decision"":""Keep talking.""}","I dont"
"{""decision"":""Keep talking.""}","I dont want to"
"{""decision"":""Pause.""}","Um my business so far is based"
"{""decision"":""Pause.""}","Well I have a consulting"
"{""decision"":""Pause.""}","Humanity Humanity"
"{""decision"":""Keep talking.""}","Yes My financial target"
"{""decision"":""Pause.""}","The only"
"{""decision"":""Pause.""}","Say"
"{""decision"":""Keep talking.""}","Yes"
"{""decision"":""Keep talking.""}","Yes"
"{""decision"":""Pause.""}","They would really have to"
"{""decision"":""Pause.""}","My annual income? With"
"{""decision"":""Pause.""}","Lets see I probably"
"{""decision"":""Keep talking.""}","The first thing is"
"{""decision"":""Pause.""}","To invest in growing my business right"
"{""decision"":""Pause.""}","Um my business"
"{""decision"":""Keep talking.""}","I did"
"{""decision"":""Pause.""}","Well right now yes"
"{""decision"":""Pause.""}","Say for instance I"
"{""decision"":""Pause""}","I would"
"{""decision"":""Pause.""}","They would really have"
"{""decision"":""Pause.""}","I dont want to work"
"{""decision"":""Pause""}","No Do you have"
"{""decision"":""Keep talking.""}","Right"
"{""decision"":""Pause""}","Yes Im"
"{""decision"":""Pause.""}","I make my own"
"{""decision"":""Pause.""}","I would want my"
"{""decision"":""Pause.""}","Well its just"
"{""decision"":""Pause.""}","I make my"
"{""decision"":""Pause.""}","Yes Im leaving for my"
"{""decision"":""Pause.""}","That wouldnt be a"
"{""decision"":""Pause.""}","Yeah thats"
"{""decision"":""Pause.""}","I would want my day to day"
"{""decision"":""Pause.""}","Old man and he"
"{""decision"":""Pause.""}","Let me just say this I know"
"{""decision"":""Pause.""}","Well its just my old"
"{""decision"":""Pause.""}","That wouldnt be a problem as long"
"{""decision"":""Pause.""}","Old man and he worry about cars"
"{""decision"":""Pause.""}","Let me just say"
"{""decision"":""Pause.""}","Well its just my"
"{""decision"":""Pause.""}","Well its just my old method"
"{""decision"":""Pause.""}","Sure Ill look at the"
"{""decision"":""Pause.""}","Old man and he worry about"
"{""decision"":""Pause.""}","That wouldnt"
"{""decision"":""Pause.""}","Well its just my old method my"
"{""decision"":""Pause.""}","I dont want"
"{""decision"":""Keep talking.""}","I dont"
"{""decision"":""Pause.""}","I make my own decision"
"{""decision"":""Pause.""}","No this weekend Im going to a"
"{""decision"":""Keep talking.""}","Yes"
"{""decision"":""Pause.""}","I would want"
"{""decision"":""Keep talking.""}","Yes"
"{""decision"":""Pause.""}","Yes Im leaving for"
"{""decision"":""Pause""}","Yes Im leaving"
"{""decision"":""Pause.""}","I would want my day to"
"{""decision"":""Keep talking.""}","Thank you"
"{""decision"":""Pause.""}","I"
"{""decision"":""Pause.""}","Sure Ill look at the video and"
"{""decision"":""Keep talking.""}","Yes One of my skills that"
"{""decision"":""Keep talking.""}","That"
"{""decision"":""Keep talking.""}","No this weekend"
"{""decision"":""Pause.""}","No Do you"
"{""decision"":""Keep talking.""}","No Do you have anything for Monday"
"{""decision"":""Keep talking.""}","Yes"
"{""decision"":""Pause.""}","No this weekend Im going to"
"{""decision"":""Keep talking.""}","No"
"{""decision"":""Keep talking.""}","I"
"{""decision"":""Pause.""}","I would want my day"
"{""decision"":""Pause.""}","How much more longer are"
"{""decision"":""Keep talking.""}","Old man and he worry"
"{""decision"":""Keep talking.""}","I make"
"{""decision"":""Keep talking.""}","I do"
"{""decision"":""Keep talking.""}","Yes"
"{""decision"":""Keep talking.""}","Yes Im leaving for my concert first"
"{""decision"":""Keep talking.""}","Sure Ill look at"
"{""decision"":""Keep talking.""}","Yeah"
"{""decision"":""Keep talking.""}","No"
"{""decision"":""Pause.""}","No Do you have anything"
"{""decision"":""Keep talking.""}","No this weekend Im going"
"{""decision"":""Pause.""}","Well"
"{""decision"":""Pause""}","No this"
"{""decision"":""Keep talking.""}","Sure Ill look"
"{""decision"":""Keep talking.""}","That wouldnt be a problem"
"{""decision"":""Keep talking.""}","It"
"{""decision"":""Keep talking.""}","Yes Im leaving for my concert"
"{""decision"":""Keep talking.""}","The"
"{""decision"":""Keep talking.""}","I make my own decision yeah"
"{""decision"":""Keep talking.""}","Yeah thats fine"
"{""decision"":""Keep talking.""}","Yes"
"{""decision"":""Pause.""}","That wouldnt be"
"{""decision"":""Keep talking.""}","No"
"{""decision"":""Pause.""}","No 30000 a month a"
"{""decision"":""Keep talking.""}","Email me"
"{""decision"":""Pause.""}","Well"
"{""decision"":""Pause.""}","Sure Ill"
"{""decision"":""Keep talking.""}","Thank"
"{""decision"":""Keep talking.""}","Sure Ill look at the video"
"{""decision"":""Pause.""}","That wouldnt be a problem as"
"{""decision"":""Keep talking.""}","The first thing is the"
"{""decision"":""Keep talking.""}","Okay?"
"{""decision"":""Keep talking.""}","Sure"
"{""decision"":""Keep talking.""}","They would really have to wear"
"{""decision"":""Pause.""}","Old man and"
"{""decision"":""Keep talking.""}","It does"
"{""decision"":""Pause.""}","Well its"
"{""decision"":""Keep talking.""}","Old man"
"{""decision"":""Pause""}","No Do you have anything for"
"{""decision"":""Keep talking.""}","Eastern"
"{""decision"":""Keep talking.""}","I"
"{""decision"":""As there is no context or continuation of the conversation, I cannot determine whether the speaker should pause or keep talking. Please provide more information.""}","The first"
"{""decision"":""As the listener only said \""To\"", it is likely just an acknowledgement and not a significant interruption. Therefore, the speaker should continue talking. Keep talking.""}","To"
"{""decision"":""Keep talking (as the listener is not interjecting or adding to the conversation)""}","Thank you Bye"
"{""decision"":""As the listener's interjection is not related to the speaker's conversation, the appropriate response would be to Keep talking.""}","Old"
"{""decision"":""As the listener's statement \""No Do\"" does not make sense, it is safe to assume that the speaker should continue talking. Therefore, the response would be \""Keep talking.\""""}","No Do"
"{""decision"":""Pause.""}","My price"
"{""decision"":""Pause.""}","Its about my passion Its been about"
"{""decision"":""Keep talking.""}","My price point is 1200 A package"
"{""decision"":""Keep talking.""}","Okay"
"{""decision"":""Pause.""}","To invest in growing my"
"{""decision"":""Pause.""}","That drives"
"{""decision"":""Pause.""}","Well if Im consulting with"
"{""decision"":""Keep talking.""}","That"
"{""decision"":""Pause.""}","That sounds"
"{""decision"":""Pause.""}","Email me Whatever it is that they"
"{""decision"":""Keep talking.""}","No this weekend Im"